claim	article_url	video_url	autres_candidats
Une vidéo de manifestations de Vénézuéliens partagée par Donald Trump	https://www.tf1info.fr/international/verif-venezuela-donald-trump-relaie-une-fausse-video-de-foule-celebrant-la-chute-de-maduro-2417453.html	https://www.tiktok.com/@ellen_jos/video/7582524785960193294	
Une vidéo du roi de Suède refusant de serrer la main de Zelensky	https://factuel.afp.com/doc.afp.com.A8HD9KF		
Une vidéo montrerait Joe Biden "complètement perdu" lors du dernier G7	https://factuel.afp.com/doc.afp.com.34XL4XP	https://x.com/AndrewJBates46/status/1801357943566123162	https://x.com/Carene1984/status/1801309201932648865; https://www.youtube.com/watch?v=E_8RSt5X-Zk; https://www.youtube.com/embed/E_8RSt5X-Zk
Cette vidéo de « duel	https://www.20minutes.fr/monde/4197565-20260128-video-duel-entre-mini-cerf-rhinoceros-generee-ia	https://x.com/KnightCziwi/status/2009311759254102335	https://www.youtube.com/shorts/h4h88Mj8vso; https://www.youtube.com/watch?v=SCwcJsBYL3o
Cette vidéo montre des paquebots de croisière déverser leurs eaux usées dans la mer.	https://dpa-factchecking.com/switzerland/250331-99-388065	https://www.facebook.com/elisabeth.lili.79/videos/681908621067943	https://www.facebook.com/ricardo.puccaco/videos/1056542729842918; https://www.facebook.com/elisabeth.meyrieuxbis.1/videos/2000971123758993; https://www.tiktok.com/@tokshopit/video/7483449654940568878
Cette vidéo montre Jennifer Lopez qui ramasse soigneusement son prix dépoussiéré	https://www.20minutes.fr/monde/etats-unis/4135131-20250123-incendies-los-angeles-pourquoi-fausse-video-montrant-jennifer-lopez-victime-cartonne		
Une vidéo prouvant que l’équipe de foot du Nigeria aurait été “maraboutée” par les joueurs de RDC	https://factuel.afp.com/doc.afp.com.873A8T4		
Une vidéo montrant 600 missiles tirés sur Israël	https://factuel.afp.com/doc.afp.com.A3698NQ	https://www.youtube.com/watch?v=w6tpIBHhZLw	https://www.youtube.com/watch?v=uQ9k5NePfks; https://www.youtube.com/watch?v=qqW93ePJ82s; https://www.youtube.com/shorts/c2vAuydqJqU
Ces vidéos montrent les cercueils des Kulunas exécutés en RDC	https://factuel.afp.com/doc.afp.com.36WK4K7	https://www.youtube.com/watch?v=sIpVaK5UMKU	https://www.youtube.com/watch?v=uWdqbhhSvcE; https://www.facebook.com/lionel.moutou.5/videos/8630422073747249; https://www.youtube.com/watch?v=nSpIKkuGIQQ
Cette vidéo de migrants clandestins musulmans et propalestiniens menaçant la France est-elle authentique ?	https://www.20minutes.fr/societe/4173993-20250922-video-migrants-clandestins-musulmans-propalestiniens-menacant-france-authentique	https://x.com/EricArchambaul7/status/1967669915390754899	https://x.com/JeanMessiha/status/1967888714681741707; https://www.tiktok.com/@sentinelle_fr/video/7550702628024470806; https://www.facebook.com/100075407821775/videos/649943894457657
